名称,级别,所在地区,详情链接,简介,大门票参考,景交费用参考,费用区间参考,开放时间,适宜季节,建议游玩时间,旅游景区级别,详细地址,官方网站,抓取状态,自然保护区等级,森林公园等级,国家风景名胜区,度假区级别,国家级水利风景区,地质公园级别,遗产项目编号,文物保护单位,官网,博物馆等级,地址,湿地级别,中文名,占地面积,主管部门,免票时间,企业官网,开盘时间,所在地址,外文名,成立时间,藏品数量
崆峒山风景名胜区,5A,平凉市,https://www.maigoo.com/citiao/3412.html,崆峒山主峰海拔2123米，属于以石峰、峰林为主的丹霞地貌，是古丝绸之路西出关中的要塞、传说中广成子所居地，自古就有“西来第一山”“西镇奇观”“崆峒山色天下秀”“雄秀甲于关塞”“中华道教第一山”等美誉。景区内孤山峰岭，峰丛广布，形态各异的峰丛、峭壁、岩洞、陡崖组成的丹霞地貌雄伟奇特，溪流清泉，飞瀑幽潭遍布，八台九宫十二院四十二座建筑群气势磅礴，集奇险灵秀的自然景观和古朴精湛的人文景观于一身。,旺季110元，淡季55元,索道单程50元，观光车单程香山线48元中台线32元，游船单程30元,200~300元,07:00~19:00,4~10月,4小时,5A,甘肃省 平凉市 崆峒区 崆峒镇,,成功,,,1994年,,,国家级(2004年第三批)正名,,,,,,,,,,,,,,,,
镇江三山风景名胜区,5A,镇江市,https://www.maigoo.com/citiao/3581.html,镇江三山景区由金山风景区、焦山风景区、北固山风景区组成，三山形态各异，景观独特，以长江为纽带，互为对景，水光山色，江山相映。金山以绮丽著称，寺宇金碧辉煌，肩摩踵接，一塔拔地而起，直指云天，无论近观远眺，总见寺而不见山，向有“金山寺裹山”的说法。焦山是四面环水的岛屿，与对岸象山夹江对峙，有江南“水上公园”之喻，被誉为“江中浮玉”。北固山形势险要，风景秀丽，与金山、焦山成犄角之势，有“京口第一山”之称。,,,,06:00～18:00,四季,2天,5A,江苏省 镇江市 丹徒区,点击查看,成功,,,2004年,,,,,,,,,,,,,,,,,,,
瑞金共和国摇篮景区,5A,赣州市,https://www.maigoo.com/citiao/3613.html,瑞金共和国摇篮景区是中国红色旅游经典景区之一、中国旅游观光、培育爱国情感和民族精神的重要基地，是赣闽边际红色旅游集散中心，也是全国重点文物保护单位、全国爱国主义教育示范基地。共和国摇篮景区占地面积4550余亩，主要由叶坪景区、红井景区、二苏大景区、中华苏维埃纪念园四大景区组成，景区整体既保留“形体”的简朴，又展现出内涵的“身价”，旧址群、纪念园、博物馆各具特色，真可谓一处一诗，一步一景。,叶坪景区35元，红井景30元,,100元以下,08:30~18:00,四季,,5A,江西省 赣州市 瑞金市 沙洲坝镇,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
哈巴河白沙湖景区,5A,阿勒泰地区,https://www.maigoo.com/citiao/3734.html,白沙湖景区由白沙湖、鸣沙山、西北第一连等景点组成。白沙湖是古尔班通古特沙漠北面的一个淡水湖，因湖畔沙丘的沙粒黄且泛白而得名，海拔约650米，水域面积0.5平方公里，南北长约800米，东西宽约600米。由于白沙湖地处沙漠且无进出水口，但湖水却不因季节增多或减少，有“沙漠圣泉”之称。景区外围有连绵起伏的沙漠，湖心、湖岸、湖周围生长着高大茂密的混生林带和密密丛丛的芦苇，湛蓝湖水、茂盛植被和连绵沙漠构成了一幅和美的画卷。,70元,区间车45元，电瓶车8元,100~200元,10:00~20:00,夏季，秋季,1天,5A,新疆 阿勒泰地区 哈巴河县,,成功,,,,,,,,,,,,,,,,,,,,,,
雁南飞茶田景区,5A,梅州市,https://www.maigoo.com/citiao/3422.html,梅州市雁南飞茶田景区位于梅州市，是一个融茶叶生产、生态公益林改造、园林绿化、旅游观光、度假于一体的生态农业示范基地和旅游度假景区。雁南飞茶田度假村占地总面积4.50平方公里，由自然山峦、生态林区、标准化茶田、果园、人文景观、旅游度假设施六大部分组成，主要特点是突出博大精深的茶文化和客家文化主题，主要景点和设施有茶田、果园、望茶亭、美食街、网球场、人工湖、山水瀑布等。,80元,,100元以下,全天,,半天,5A,广东省 梅州市 梅县区 雁洋镇长教村,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
清东陵景区,5A,唐山市,https://www.maigoo.com/citiao/3477.html,清东陵景区是中国现存规模最大、体系最完备、布局最规整的古代帝王陵墓建筑群之一，其建筑艺术达到了中国古代建筑的顶峰。清东陵共建有皇陵五座：顺治帝的孝陵、康熙帝的景陵、乾隆帝的裕陵、咸丰帝的定陵、同治帝的惠陵，以及东（慈安）、西（慈禧）太后等后陵四座、妃园五座、公主陵一座，计埋葬15个皇后和136个妃嫔。景区设有孝陵主神道、裕陵地宫、慈禧陵等标志性景点。,30-108元,观光车30元,100~200元,8:00~17:00,春季，秋季,3~5小时,5A,河北省 唐山市 遵化市 马兰峪镇,,成功,,,,,,,,国家第一批(清朝),,,,,,,,,,,,,,
洪洞大槐树寻根祭祖园,5A,临汾市,https://www.maigoo.com/citiao/116342.html,洪洞大槐树寻根祭祖园是以“寻根”和“祭祖”为主题的民祭圣地，几个世纪以来，一直被当作“家”、称作“祖”、看作“根”，被誉为“根祖圣地，华人老家”。大槐树寻根祭祖园占地3.5平方公里，由“移民古迹区”、“祭祖活动区”、“民俗游览区”、“汾河生态区”、“根祖文化广场”五大主题板块组成，有碑亭、二三代大槐树、千年槐根、祭祖堂、广济寺、石经幢、移民浮雕图、中华姓氏苑等60余处风景文化景点。,旺季80元，淡季64元,,100元以下,07:00~19:30,,3小时,5A,山西省 临汾市 洪洞县 古槐北路公园街002号,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
云丘山景区,5A,临汾市,https://www.maigoo.com/citiao/116340.html,云丘山古称昆仑、北顶，总面积210平方公里，主开发景区面积为35平方公里，最高峰玉皇顶海拔1629米，是集旅游观光、休闲娱乐、度假养生、民俗体验、文化交流等功能于一体的综合性旅游景区。景区拥有崇山、险峰、奇石、飞瀑、沟堑、清泉、云海等自然景观，还拥有大规模的自然冰洞群和大面积的天然红叶景观，享有“姑射最秀峰巅”“河汾第一名胜”的美誉。景区完整保存了11座千年古村落，且道教文化兴盛，殿宇、洞观为数众多，是全真教龙门派开山祖庭。,旺季80元，淡季40元,5-70元,400~500元,08:00~18:30,全年,2~3天,5A,山西省 临汾市 乡宁县,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
莫尔格勒河景区,5A,呼伦贝尔市,https://www.maigoo.com/citiao/1224928.html,呼伦贝尔大草原·莫尔格勒河景区，地处呼伦贝尔大草原核心腹地，是“天下第一曲水”莫尔格勒河最美河段。景区呈东北—西南走向狭长分布，总规划面积201.5平方公里，核心区面积51.42平方公里。景区内有南北游客中心2个、观景驿站3个、智慧旅游系统大数据运营平台1个、景区公路51公里、生态停车场11万平米、打造功能项目区17个，卫生、休息、导览、医疗等服务设施一应俱全。,免费,旺季区间车40元,100元以下,8:00-18:30,,4小时,5A,内蒙古自治区 呼伦贝尔市海拉尔区陈巴尔虎旗巴彦库仁镇,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
桂林独秀峰?王城景区,5A,桂林市,https://www.maigoo.com/citiao/3435.html,独秀峰·王城景区是以桂林“众山之王”——独秀峰为中心，明代靖江藩王府为范围的精品旅游景区，景区内自然山水风光与历史人文景观交相辉映，自古以来就有“城中城”的美誉，世间传颂“北有北京故宫，南有桂林王城”。景区内自然山水风光与历史人文景观交相辉映，“桂林山水甲天下”这千古名句的真迹题刻就出于此处。景区涵盖了桂林三大历史文化体系，是桂林历史文化的典型代表，走进景区就走进了桂林历史文化之门。,靖江王府100元,,100~200元,07:30~18:30,四季,1~1.5小时,5A,广西 桂林市 秀峰区 王城路1号,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
刘伯温故里景区,5A,温州市,https://www.maigoo.com/citiao/279028.html,刘伯温故里总面积4.81平方公里，是人文与自然景观交相辉映、集多元文化于一体的综合型旅游休闲度假目的地。景区内生态环境优美，文化底蕴深厚，民俗风情浓郁，地域特色鲜明，由刘基庙和百丈漈两大核心景区构成，主要有一折瀑、西天屏、刘基庙、天顶湖、大象峰等景点，以避暑、瀑奇、湖美、洞怪、潭多、峰秀以及人文景观众多而著称。其中百丈漈有着“中华第一高瀑”之称，为“V”形深壑巨涧，长1200米，总落差达353米，从而形成“三折”瀑布。,百丈漈65元,景交车单程10元,100元以下,08:00~18:00,夏季,5~6小时,5A,浙江省 温州市 文成县 百丈漈篁庄村,,成功,,,,,,,,,,,,,,,,,,,,,,
绩溪龙川景区,5A,宣城市,https://www.maigoo.com/citiao/3369.html,龙川景区以龙川为主题，龙川是坑口村的古称，是胡姓聚族而居的古村落，登源河北来南流，龙川溪穿村而过，汇入登源河，村落似船形，有如龙舟出海之势。景区内的胡氏宗祠、奕世尚书坊和徽商胡炳衡宅，是徽派建筑三雕艺术精品。胡氏宗祠素有“木雕艺术博物馆”和“民族艺术殿堂”之美称；奕世尚书坊建于明代嘉靖年间，是徽派石雕的代表作；徽商胡炳衡宅（未开放）完好地保存了徽州古民居旧貌。,75元,,100元以下,08:30~16:30,,半天,5A,安徽省 宣城市 绩溪县 瀛州乡大坑口村,点击查看,成功,,,2017年,,,,,,,,,,,,,,,,,,,
本溪五女山景区,5A,本溪市,https://www.maigoo.com/citiao/116468.html,桓仁五女山风景区，位于桓仁满族自治县桓仁镇北侧8公里处，系高句丽民族开国都城。景区主要景观集中于浑江水库周围，其中五女山为全国名山，相传古时有五女屯兵其上，修城筑堡，抵御外侵，之后自命五女山，故而得名。桓仁五女山现仍有五女庙遗址，山内风景区为国家级文物保护单位、省级风景名胜区。2006年，申请世界文化遗产成功。,70元,车票35元,100~200元,夏季：5:30~16:30 冬季：9:00~17:00,全年,4~6小时,5A,辽宁省 本溪市 桓仁满族自治县 桓仁镇,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
天涯海角游览区,5A,三亚市,https://www.maigoo.com/citiao/112204.html,天涯海角游览区，位于三亚市主城区西南约23公里处，背对马岭山，面向茫茫大海，是海南建省20年第一旅游名胜，新中国成立60周年海南第一旅游品牌，以其美丽迷人的热带海滨风光、悠久惟一的历史文化——天涯文化驰名海内外。游览区依山傍海，碧水蓝天一色，烟波浩渺，帆影点点，椰林婆娑，奇石林立，那刻有“天涯”、“海角”、“南天一柱”、“海判天”等巨石雄峙海滨，形成了南国独特的椰风海韵，整个景区如诗如画。,免费,观光车25-98元,100元以下,07:00~18:30,9月~次年4月,3~4小时,5A,海南省 三亚市 天涯区 天涯镇,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
株洲炎帝陵景区,5A,株洲市,https://www.maigoo.com/citiao/3543.html,炎帝陵位于株洲市鹿原镇境内，陵区面积5平方公里，是中华民族始祖炎帝神农氏的寝陵圣地，因其历史悠久，被誉为“神州第一陵”。如今的炎帝陵规模主要为1988年重建后的，整个建筑占地面积3836平方米，按清皇宫建筑格局布置，有自然、人文景观20多处，主要有炎帝陵殿、御碑园、皇山碑林、天使公馆、圣火台、神农大殿、朝觐广场、神农大桥、白鹭亭、崇德坊、鹿原陂、龙垴石、龙爪石、洗药池、邑有圣陵等景点。整个建筑金碧辉煌，重檐翘角，气势恢宏，富有民族传统风格。,62元,,100元以下,08:00~17:30,春秋季,3小时,5A,湖南省 株洲市 炎陵县 城西19公里的鹿原陂,点击查看,成功,,,2012年,,,,,国家第四批(1996年),,,,,,,,,,,,,,
阿咪东索景区,5A,海北藏族自治州,https://www.maigoo.com/citiao/279022.html,阿咪东索景区，位于青海省海北藏族自治州祁连县城东南2公里处，是全国百座避暑名山之一，也是祁连山的支脉—托来山的主峰。景区占地面积112.97平方公里，核心面积12.47平方公里，海拔高度在2800米到3500米之间；整个景区似一个东西走向的巨大山谷，山谷全长14公里，谷间流水潺潺，云蒸雾蔚，野生植物众多，原始生态保存完整。,60元,观光车30元,100元以下,08:00-18:00,夏秋两季,1~2天,5A,青海省 海北藏族自治州 祁连县 城东南2公里处,,成功,,,,,,,,,,,,,,,,,,,,,,
东江湖风景区,5A,郴州市,https://www.maigoo.com/citiao/3554.html,东江湖总面积200平方公里，是以山水交融的东江湖为主体，集旅游观光、休闲度假、康体疗养于一体的湖岛型旅游区。东江湖湖面面积160平方公里，主要景观有雾漫小东江、东江大坝、龙景峡谷、兜率灵岩、东江漂流、三湘四水·东江湖文化旅游街等，山丘、江湖、岛屿、溶洞、名刹、温泉、古迹等景观奇特各异，其水质达到了国家一级饮用水标准，被誉为“人间天上一湖水，万千景象在其中”。每年4-10月，被誉为,旺季观湖线55元游湖线90元，淡季观湖线50元游湖线85元,,100元以下,06:00~17:30,4~10月,3小时,5A,湖南省 郴州市 资兴市 王家庄88号,点击查看,成功,,,2009年,,国家级,,,,,,,国家级,,,,,,,,,,
三峡人家风景区,5A,宜昌市,https://www.maigoo.com/citiao/3521.html,三峡人家位于长江三峡中，是一家原生态、场景式、体验型大型民俗旅游区，自然风光以“湾急、石奇、谷幽、洞绝、泉甘”闻名。三峡人家风景区面积为14平方公里，分为三峡人家、龙进溪、灯影洞、石令牌、石牌古镇、抗战纪念馆等景区，包括灯影石、明月湾、灯影洞、石牌抗战纪念馆、石令牌、杨家溪、蛤蟆泉等景点。这里石、瀑、洞、泉，多种景观元素巧妙组合，以“湾急、石奇、谷幽、洞绝、泉甘”闻名，还有千百年来流传不衰的各种习俗。,150元,交通票60元，索道和手扶电梯30元/次,200~300元,旺季8:00~17:00，淡季8:30~17:30,四季,4~5小时,5A,湖北省 宜昌市 夷陵区 三斗坪镇石牌村,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
重庆奉节白帝城·瞿塘峡景区,5A,奉节县,https://www.maigoo.com/citiao/113893.html,白帝城·瞿塘峡景区，位于重庆市奉节县境内，东至巫山县的大溪镇，全长约8公里。景区面积4.7平方公里，峡内北岸山顶有文物珍藏甚多的白帝城，惊险万状的古栈道、神秘莫测的风箱峡；南岸有题刻满壁的粉壁墙，富于传说孟良梯、倒吊和尚、盔甲洞，洞幽泉甘的凤凰饮泉等。白帝城·瞿塘峡景区先后荣誉国家AAAA级旅游景区、国家重点风景名胜区、国家地质公园、国家重点文物保护单位等荣誉称号。,旺季100元，淡季60元,,100~200元,07:30~19:00,春秋季,3~4小时,5A,重庆市 奉节县 白帝镇白帝村,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
虎头旅游风景区,5A,鸡西市,https://www.maigoo.com/citiao/112260.html,虎头旅游景区位于黑龙江省鸡西市虎林市，以重要的历史遗址景观为主，是集界江风光、战争遗址、湿地探险、历史文化为一体的综合性风景区。虎头风景名胜区总面积250.7平方公里，拥有大界江、大湿地、大冰雪、大森林等塞北自然风光和战争遗址、历史文物等旅游资源，要塞遗址内包含博物馆和地下要塞、二战纪念碑、抗日英雄纪念碑，通过真实的实物和遗迹有力地展示了日军的侵华罪证。,,,,8:00~17:00,全年,,5A,黑龙江 鸡西市 虎林市 虎头镇,,成功,,,,,,,,,,,,,,,,,,,,,,
春秋淹城旅游区,5A,徐州市等,https://www.maigoo.com/citiao/3591.html,中国春秋淹城旅游区是享誉国内外的春秋文化主题景区。旅游区以有着2700余年历史的全国重点文物保护单位——淹城遗址为文化根基，集食、宿、行、游、购、娱于一体，真实、鲜活、富含创意地展现和传递着中华传统文化。景区总面积7.6平方公里，拥有淹城遗址公园、淹城春秋乐园、淹城传统商业街坊、淹城野生动物世界、淹城宝林禅寺五大区域。,春秋乐园220元，动物园200元，联票390元,,300~400元,09:00~17:00,3~5月，9~11月,2~3天,5A,江苏省 常州市 武进区 武宜中路201号,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
大明宫国家遗址公园,5A,西安市,https://www.maigoo.com/citiao/114305.html,大明宫始建于唐太宗贞观八年，毁于唐末，是唐帝国宏伟壮丽的宫殿建筑群，也是当时世界上面积较大的宫殿建筑群，为唐朝的国家象征，曾有17位皇帝在这里处理朝政。大明宫国家遗址公园由8公里宫墙、宫门、中轴构成的大规模遗址格局形制，是集考古、科研、科普、游艺和旅游为一体的遗址中心，也是丝绸之路整体申请世界文化遗产的重要组成部分，园内包含含元殿、宣政殿、紫宸殿、梨园、太极宫、大明宫、兴庆宫等遗址约40余处。,遗址区60元,,100元以下,08:30~19:00,秋季,2~3小时,5A,陕西省 西安市 未央区 自强东路585号,,成功,,,,,,,,国家级第一批(唐),,,,,,,,,,,,,,
八里河旅游区,5A,阜阳市,https://www.maigoo.com/citiao/3370.html,颍上八里河旅游区位于安徽颍上县南部，总占地15.8平方公里，集会议、旅游、休闲、娱乐于一体，是在1991年特大洪水形成的湖泊洼地上建成，享有“天下第一农民公园”之美称。八里河旅游区分为鸟语林、西区、东区，十二花岛、明清苑五大景点；八里河碧波万顷，湖面平静，湖上长堤种满绿柳，湖中散落着一座座岛屿，是一处别具风情的特色园区。,90元,观光车单程10元,100~200元,8:30~17:30,全年,1天,5A,安徽省 阜阳市 颍上县 八里河镇,点击查看,成功,省级（2001年）,,,,国家级,,,,,,,,,,,,,,,,,
芜湖方特旅游区,5A,芜湖市,https://www.maigoo.com/citiao/3373.html,芜湖方特旅游度假区坐落于安徽省芜湖市，是包含主题乐园、主题演艺、度假酒店等相关配套设施在内的综合性休闲旅游度假区，是第四代主题公园，总面积125万平方米。芜湖方特旅游区共包含芜湖方特欢乐世界、芜湖方特梦幻王国、芜湖方特水上乐园、芜湖方特东方神画四座主题乐园，共由15个主题项目区和300多景观项目组成，乐园主题鲜明、各抒魅力、交相辉映。,280元,,200~300元,四大乐园开放时间不同,四季,3~4天,5A,安徽省 芜湖市 鸠江区 赤铸山东路辅路,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
雅安碧峰峡景区,5A,雅安市,https://www.maigoo.com/citiao/116022.html,雅安碧峰峡景区因林木葱茏、四季青碧而得名，海拔700-1971米，由两条峡谷构成，左峡谷长7公里，右峡谷长6公里，峡壁高度100-200米，呈V字形，是一个封闭式的可循环游览景区。景区以险、奇、秀、幽、雅著称，植被丰富、峡谷幽深、瀑布众多，由野生动物世界、生态峡谷景区和大熊猫基地三个部分组成，主要景点有天龙凌云、龙凤桥、十指补天峰、天衣有缝、女娲池、玉壶潭、野鸭滩、千层岩瀑布、碧峰寺、雅女园等60多处。,野生动物世界180元，生态峡谷100元,猛兽区观光车50元，观光车电梯30元,300~400元,08:30~16:00,7月~10月,,5A,四川省 雅安市 雨城区 碧峰村,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
分界洲岛景区,5A,三亚市等,https://www.maigoo.com/citiao/3463.html,分界洲岛是一个热带海岛风情特色的海岛型景区，是海南南北气候的分界线，同时也是陵水县与万宁市的行政分界点。海南分界洲岛以东北向西南长条状横卧在蓝色大海中，远看呈马鞍型，面积约0.41平方公里，海拔最高为99米，有“美女岛”、“观音岛”、“冰火岛”之誉。，岛上辟有“鬼斧神工”、“大洞天”、“剌桐花艳”等20多处自然景观，并有暗礁潜水、峭壁潜水、沉船潜水、海上摩托艇、海底漫步、海上拖伞、沙滩酒吧等独具特色的海上娱乐项目。,旺季132元，淡季127元,,100~200元,全天,11月~次年3月,4小时,5A,海南省 陵水黎族自治县,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
吐鲁番葡萄沟风景区,5A,吐鲁番市,https://www.maigoo.com/citiao/3724.html,吐鲁番市葡萄沟风景区南北长约8公里、东西宽约2公里，是火焰山下的一处峡谷，内有布依鲁克河流过，主要水源为高山融雪，因盛产葡萄而得名。葡萄沟谷西岸，悬崖对峙，崖壁陡峭，犹如屏蟑，沟内溪流环绕，水质纯净。沟内葡萄园连成一片，到处郁郁葱葱，点缀着桃、杏、梨、桑、苹果、石榴、无花果等各种果树，一幢幢粉墙朗窗的农舍掩映在浓郁的林荫之中，一座座晾制葡萄干的“荫房”排列在山坡下、农家庭院上，别具特色。,60元,,100元以下,08:00~17:00,7月~9月,3小时,5A,新疆 吐鲁番市 高昌区 312国道与Z474交叉口北侧,,成功,,,,,,,,,,,,,,,,,,,,,,
神农溪景区,5A,恩施土家族苗族自治州,https://www.maigoo.com/citiao/3523.html,神农溪位于长江三峡西陵峡与巫峡之间，全长60公里，汇聚了沿途17条溪涧而成，因发源于神农架南坡而得名。神农溪两岸群山逶迤绵延，以雄、秀、险、奇不同风格形成了龙昌、鹦鹉、绵竹、神农四个各具特色的峡谷，绝壁峭耸，溪水在刀削般的峡壁间冲撞，有险滩、长滩、弯滩、浅滩六十余处，深潭碧水、飞瀑遍布、悬棺栈道、原始扁舟、土家风情、石笋溶洞令人惊叹。景区内的神农溪纤夫文化走廊是以纤夫文化为核心，集体验、度假、探险、养生于一体。,,,,07:00~15:00,4~5月,0.5天,5A,湖北省 恩施土家族苗族自治州 巴东县 城信陵镇沿江路191号,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
宁夏沙湖景区,5A,石嘴山市,https://www.maigoo.com/citiao/3636.html,石嘴山沙湖旅游景区以自然景观为主体，沙、水、苇、鸟、山五大景源有机结合，是一处融江南秀色与塞外壮景于一体的“塞上明珠”，既有大漠戈壁之雄浑，又有江南水乡之秀美，被誉为“世间少有”的文化旅游胜地。沙湖是古河道型湖泊，由黄河古河道洼地经过山洪刨蚀、地下水溢出汇集，并接受大气降水和地表水的补给而形成的。宁夏沙湖主要景点有沙湖国际沙雕园、鸟岛、湖东湿地、新门区广场、沙湖题字石等多余处景观。,20元,船往返70元,100元以下,08:00~18:00,5~10月,6~8小时,5A,宁夏 石嘴山市 平罗县 姚沙公路,点击查看,成功,,,,,国家级,,,,,,,,,,,,,,,,,
喀什噶尔老城景区,5A,喀什地区,https://www.maigoo.com/citiao/3731.html,喀什噶尔老城景区，占地面积20平方公里，历史悠久、文化丰厚、风情独特，是维吾尔族文化保存最完整的地方，古城是喀什噶尔的灵魂，是四大文明的荟萃之地，素有“不到喀什游不算到新疆，不到古城游不算到喀什”的美誉。噶尔老城的主要景点有莫尔佛塔、艾提尕尔清真寺、香妃故园、盘橐城、福乐智慧园、徕宁城、高台民居、乌帕尔新石器文化遗址等等。,免费,观光车40元,100~200元,9:00~18:00,全年,3小时,5A,新疆 喀什地区 喀什市 亚瓦格路10号,,成功,,,,,,,,,,,,,,,,,,,,,,
云阳龙缸景区,5A,云阳县,https://www.maigoo.com/citiao/3797.html,龙缸景区面积217平方千米，核心景区17平方千米，南北长37千米，东西宽19千米，是以龙缸岩溶天坑为主，集天坑、峡谷、溶洞、高山草场、森林、土家风情于一体的风景区。景区为典型的喀斯特地貌，漏斗、石芽、峰丛、溶洞星罗棋布，主要有龙缸天坑、云端廊桥、绝壁栈道、大安洞、岐山草原、石笋河、龙窟峡、清水湖、蔈草古长城、岐阳关古道遗址等景点。,100元,10-100元,200~300元,08:30~17:30,四季,4~6小时,5A,重庆市 云阳县 清水土家族乡,点击查看,成功,,,,,,国家级(2005年第四批)正名，世界级,,,,,,,,,,,,,,,,
青铜峡黄河大峡谷旅游区,5A,吴忠市,https://www.maigoo.com/citiao/116237.html,青铜峡黄河大峡谷旅游区是黄河上游最后一道峡谷，素有“黄河小三峡”之称，区内的青铜峡拦河大坝、宁夏水利博览馆、一百零八塔、大禹文化园、十里长峡、鸟岛、牛首山西寺、中华黄河坛等众多景点座落在黄河两岸，让人目不暇接，集中展现了黄河文化、西夏文化、回族文化以及塞上江南风光，是集自然观光、生态旅游、科普教育、休闲度假于一体的精品旅游目的地。,A线120元，B线190元,,100~200元,08:00~18:30,全年,3~4小时,5A,宁夏 吴忠市 青铜峡市,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
西安城墙-碑林历史文化景区,5A,西安市,https://www.maigoo.com/citiao/188113.html,城墙-碑林历史文化景区，是由西安市最有影响力的碑林博物馆和城墙景区组成，西安城墙碑林景区紧邻书院门文化街，以收藏、陈列和研究历代碑刻、墓志和石刻闻名于世。其中西安城墙，有着历史悠久、保存完整的古代城垣建筑，延续了整个古都长安的历史文脉；碑林景区收藏有11000余件文物，其中有不少国宝级文物，既是最真实的历史记载，又是汉字书法的神圣演进。,城墙54元，碑林10元,,100元以下,,,3小时,5A,陕西省 西安市 碑林区 南大街,,成功,,,,,,,,,,,,,,,,,,,,,,
芒砀山,5A,商丘市,https://www.maigoo.com/citiao/3504.html,芒砀山因汉高祖刘邦斩蛇起义而闻名于世，中国第一位农民起义领袖陈胜亦埋葬于此，因秦汉文化遗存彼丰，还有着“汉文化博物馆”之美誉，是豫东集山水、人文、民俗为一体的旅游胜地。芒砀山旅游区群峰争秀，风光旖旎，历史厚重，文化神秘，这里有规模宏大的地下西汉王陵墓群、汉高祖刘邦斩蛇处、大汉雄风景区、芒砀山地质公园、僖山景区、陈胜王陵、孔夫子避雨处等景点。,90元,游览车单程10元,100~200元,08:30~17:00,春秋,半天,5A,河南省 商丘市 永城市 芒山镇,点击查看,成功,,,,,,,,,,,,,,,,,,,,,,
洛阳龙潭大峡谷景区,5A,洛阳市,https://www.maigoo.com/citiao/3501.html,龙潭大峡谷景区，是洛阳黛眉山世界地质公园的核心景区，是一条以典型的红岩嶂谷群地质地貌景观为主的峡谷景区。谷内关峡相望，潭瀑联珠，壁立万仞，峡秀谷幽，经过十二亿年的地质沉积和260万年的水流切割旋蚀所形成的高峡瓮谷、山崩地裂奇观，堪称一绝，享有“中国嶂谷第一峡”、“古海洋天然博物馆”、“黄河山水画廊” 等美名。,80元,观光车20元，龙山天池船票50元,100~200元,07:00~17:30,4~10月,3~4小时,5A,河南省 洛阳市 新安县 石井镇龙潭沟村,,成功,,,,,,,,,,,,,,,,,,,,,,
广安邓小平故里,5A,广安市,https://www.maigoo.com/citiao/3707.html,广安市邓小平故里旅游区是全国红色旅游经典景区、全国重点文物保护单位，最受老百姓喜爱的中国十大红色旅游目的地。也是人们追寻邓小平足迹、缅怀邓小平同志丰功伟绩和开展中国特色社会主义教育、爱国主义教育和革命传统教育的重要基地。邓小平故里景区有主要景点20余处，其中翰林院子、蚕房院子以及邓家老井、放牛坪、清水塘、洗砚池、神道碑等景点，充分展示了邓小平同志青少年时期的活动足迹。,免费,,100元以下,8:30~17:30；周一闭馆不闭园,春秋季,1~2小时,5A,四川省 广安市 广安区 协兴镇牌坊村中心大道,,成功,,,,,,,,,,,,,,,,,,,,,,
四面山国家级风景名胜区,5A,江津区,https://www.maigoo.com/citiao/3798.html,江津四面山国家级风景名胜区平均海拔1200米，主峰蜈蚣岭海拔海拔1709米，集山、水、林、瀑、石于一身，融幽、险、雄、奇、秀为一体。景区内共有8大景区、128个景点，拥有完整的“丹霞赤壁-瓮形围谷-高山瀑布”组合而成的罕见地址遗迹，还有灰千岩摩崖壁画、朝源观、会龙庄、四面山少林寺等人文景观。其中尤以脍炙人口的“爱情天梯”、158米高48米宽的“华夏第一高瀑”望乡台瀑布、中国最大心形景观“天下第一心”和世界首列的“七彩瀑布”著名。,旺季90元，淡季60元,观光车40元，画舫船30-45元,100~200元,08:00~18:00,7~9月,1天,5A,重庆市 江津区 四面山镇,点击查看,成功,,,1994年,,,,,,,,,,,,,,,,,,,
江苏姜堰溱湖国家湿地公园,5A,泰州市,https://www.maigoo.com/citiao/3579.html,溱湖旅游景区位于全国著名三大洼地之一的里下河地区，系国家级旅游景区、国家湿地公园、国家生态旅游示范区、国家级水利风景区。景区规划总面积26平方公里，区内湿地风光秀美、人文底蕴深厚、民俗风情独特，素有“水乡明珠”之称。经过开发和利用，现已形成以溱湖为核心，以溱湖国家湿地公园、溱潼古镇、泰州华侨城、农业生态园四大景区为主体，融湿地观光、古镇旅游、温泉度假、民俗体验、休闲娱乐、拓展培训等功能于一体的生态旅游区。,溱湖80元，溱潼古镇40元,,100~200元,08:10~17:00,春季，夏季,4~5小时,5A,江苏省 泰州市 姜堰市溱潼镇溱湖大道1号,点击查看,成功,,,,,国家级,,,,,,,国家级,,,,,,,,,,
